"Product/Service Name","Quantity on hand","Item type","Category","SKU","Purchase cost includes tax","Sales price includes tax","Price","Cost","Income Account","Expense Account","Inventory asset account","Sales Description","Purchase Description","Reorder Point"
"Small 3D Shell Bottle",12,"Inventory","Souvenirs:Sand & Shells","SSG-57","No","No",6.3,3.7,"Sales of Product Income","Cost of sales","Inventory Asset","Small 3D Shell Bottle - SSG-57","Small 3D Shell Bottle",10
"Small Wooden Key Ring Pen Knife",262,"Inventory","Souvenirs:Miscellaneous","K-KR","No","No",13.59,7.62,"Sales of Product Income","Cost of sales","Inventory Asset","Small Wooden Key Ring Pen Knife - K-KR","Small Wooden Key Ring Pen Knife",50
"Starfish Candle with Votive",64,"Inventory","Souvenirs:Candles","SSG-44","No","No",16.02,10.07,"Sales of Product Income","Cost of sales","Inventory Asset","Starfish Candle with Votive - SSG-44","Starfish Candle with Votive",10
"Tamarind Ball Pack",203,"Inventory","Souvenirs:Confectionery","Tamarind Ball Pack","No","No",,,"Sales of Product Income","Cost of sales","Inventory Asset","Tamarind Ball Pack","Tamarind Ball Pack",50
"Tiny Bubbles 3D Bookmark",281,"Inventory","Souvenirs:3D Bookmarks","47165-3DB","No","No",6.3,4.06,"Sales of Product Income","Cost of sales","Inventory Asset","Tiny Bubbles 3D Bookmark - 47165","Tiny Bubbles 3D Bookmark",10
"Tiny Bubbles Magnet",428,"Inventory","Souvenirs:3D Magnets","47165-3DM","No","No",5.81,3.26,"Sales of Product Income","Cost of sales","Inventory Asset","Tiny Bubbles Magnet - 47165","Tiny Bubbles Magnet",10
"Tropical Fish Playing Cards",702,"Inventory","Souvenirs:Playing Cards","Pl Cards 2200","No","No",5.32,2.59,"Sales of Product Income","Cost of sales","Inventory Asset","Tropical Fish Playing Cards - 2200","Tropical Fish Playing Cards",200
"Tube of Shells",64,"Inventory","Souvenirs:Sand & Shells","Tube Shells","No","No",3.38,1.95,"Sales of Product Income","Cost of sales","Inventory Asset","Tube of Shells","Tube of Shells",10
"Turtle Crossing Sign",311,"Inventory","Souvenirs:Signs","TC","No","No",6.3,3.91,"Sales of Product Income","Cost of sales","Inventory Asset","Turtle Crossing Sign","Turtle Crossing Sign",20
"Turtle Magnet",65,"Inventory","Souvenirs:3D Magnets","47255-3DM","No","No",5.81,3.26,"Sales of Product Income","Cost of sales","Inventory Asset","Turtle Magnet - 47255","Turtle Magnet",10
"Turtle Quest 3D Bookmark",208,"Inventory","Souvenirs:3D Bookmarks","47048-3DB","No","No",6.3,4.13,"Sales of Product Income","Cost of sales","Inventory Asset","Turtle Quest 3D Bookmark - 47048","Turtle Quest 3D Bookmark",10
"Turtles In Light 3D Bookmark",394,"Inventory","Souvenirs:3D Bookmarks","47181-3DB","No","No",6.3,3.99,"Sales of Product Income","Cost of sales","Inventory Asset","Turtles In Light 3D Bookmark - 47181","Turtles In Light 3D Bookmark",10
"Turtles In Light Magnet",47,"Inventory","Souvenirs:3D Magnets","47181-3DM","No","No",5.81,4.07,"Sales of Product Income","Cost of sales","Inventory Asset","Turtles In Light Magnet - 47181","Turtles In Light Magnet",10
"West Coast Key Chain",312,"Inventory","Souvenirs:Key Chains","40861","No","No",4.35,2.45,"Sales of Product Income","Cost of sales","Inventory Asset","West Coast Key Chain - 40861","West Coast Key Chain",50
"West Coast Luggage Tag",4,"Inventory","Souvenirs:Luggage Tags","40870","No","No",3.38,1.58,"Sales of Product Income","Cost of sales","Inventory Asset","West Coast Luggage Tag - 40870","West Coast Luggage Tag",20
"Wood Handled Bottle Opener",250,"Inventory","Souvenirs:Miscellaneous","WHBO","No","No",7.27,3.99,"Sales of Product Income","Cost of sales","Inventory Asset","Wood Handled Bottle Opener - WHBO","Wood Handled Bottle Opener",100
